Depth profiles at each cell, TRIGRS, v. 2.1.00a
Finite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
  1.0000      0.33729     -0.33104      0.66833      0.66209       1.9069    
  1.2000      0.38277     -0.19863      0.58140      0.79450       1.8466    
  1.4000      0.44796     -0.66209E-01  0.51417      0.92692       1.7908    
  1.6000      0.53257      0.66209E-01  0.46636       1.0593       1.7379    
  1.8000      0.63640      0.19863      0.43777       1.1918       1.6871    
  2.0000      0.75930      0.33104      0.42826       1.3242       1.6379    
cell           17  23.0           1   172800.00    
  0.0000     -0.85949      -1.2707      0.41120       0.0000       10.000    
 0.20000     -0.69101      -1.1013      0.41025      0.16943       6.4707    
 0.40000     -0.52244     -0.93184      0.40940      0.33885       3.9431    
 0.60000     -0.35376     -0.76242      0.40865      0.50828       3.1006    
 0.80000     -0.18499     -0.59299      0.40800      0.67770       2.6793    
  1.0000     -0.16111E-01 -0.42356      0.40745      0.84713       2.4266    
  1.2000      0.15286     -0.25414      0.40700       1.0166       2.1633    
  1.4000      0.32194     -0.84713E-01  0.40665       1.1860       1.9666    
  1.6000      0.49112      0.84713E-01  0.40640       1.3554       1.8190    
  1.8000      0.66039      0.25414      0.40625       1.5248       1.7042    
  2.0000      0.82977      0.42356      0.40620       1.6943       1.6123    
cell           17  23.0           2   216000.00    
  0.0000       0.0000      -1.2707       21.471       0.0000       10.000    
 0.20000      0.16943      -1.1013       21.280      0.16943       5.8403    
 0.40000      0.33885     -0.93184       21.110      0.33885       3.3127    
 0.60000      0.50828     -0.76242       20.959      0.50828       2.4702    
 0.80000      0.67770     -0.59299       20.828      0.67770       2.0489    
  1.0000      0.84713     -0.42356       20.718      0.84713       1.7962    
  1.2000       1.0166     -0.25414       20.627       1.0166       1.6277    
  1.4000       1.1860     -0.84713E-01   20.557       1.1860       1.5073    
  1.6000       1.3554      0.84713E-01   20.507       1.3554       1.4170    
  1.8000       1.5248      0.25414       20.476       1.5248       1.3468    
  2.0000       1.6943      0.42356       20.466       1.6943       1.2906    
cell           18  26.3           1   172800.00    
  0.0000     -0.77188      -1.2052      0.43335       0.0000       10.000    
 0.20000     -0.61213      -1.0445      0.43240      0.16070       5.7932    
 0.40000     -0.45229     -0.88384      0.43155      0.32140       3.5045    
 0.60000     -0.29234     -0.72314      0.43080      0.48209       2.7416    
 0.80000     -0.13229     -0.56244      0.43015      0.64279       2.3601    
  1.0000      0.27857E-01 -0.40174      0.42960      0.80349       2.1125    
  1.2000      0.18810     -0.24105      0.42915      0.96419       1.8730    
  1.4000      0.34845     -0.80349E-01  0.42880       1.1249       1.7019    
  1.6000      0.50890      0.80349E-01  0.42855       1.2856       1.5736    
